epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.011087499558925629,4.603775501251221,0.001,0.008299999870359898,4.601363658905029
1,0.015387499704957008,4.599795818328857,0.001,0.019300000742077827,4.596938610076904
2,0.02422500029206276,4.594088077545166,0.001,0.025200000032782555,4.588944911956787
3,0.025325000286102295,4.58280611038208,0.001,0.024700000882148743,4.571962356567383
4,0.029324999079108238,4.558627128601074,0.001,0.029200000688433647,4.5368194580078125
5,0.037437498569488525,4.514156818389893,0.001,0.04830000177025795,4.483361721038818
6,0.05204999819397926,4.457507610321045,0.001,0.06019999831914902,4.429303169250488
7,0.06851249933242798,4.406466007232666,0.001,0.07750000059604645,4.387330055236816
8,0.07977499812841415,4.371241569519043,0.001,0.08529999852180481,4.360378742218018
9,0.08664999902248383,4.349009990692139,0.0005,0.08969999849796295,4.347622871398926
10,0.08977500349283218,4.338030815124512,0.0005,0.093299999833107,4.337630271911621
0,0.1512874960899353,4.114254474639893,0.001,0.25780001282691956,3.810641288757324
1,0.3303374946117401,3.6170597076416016,0.001,0.3312000036239624,3.6202781200408936
2,0.43328750133514404,3.3697774410247803,0.001,0.3684999942779541,3.5147581100463867
3,0.5166249871253967,3.190034866333008,0.001,0.39149999618530273,3.5030221939086914
4,0.590749979019165,3.0351738929748535,0.001,0.3930000066757202,3.5268421173095703
5,0.662262499332428,2.903977870941162,0.001,0.3874000012874603,3.551504373550415
6,0.7289624810218811,2.7844741344451904,0.001,0.383899986743927,3.6093547344207764
7,0.7878000140190125,2.68587589263916,0.001,0.3862000107765198,3.63047456741333
8,0.8351250290870667,2.6013660430908203,0.00020000001,0.37529999017715454,3.6962058544158936
9,0.9184499979019165,2.4464049339294434,0.0005,0.3790000081062317,3.691983699798584
10,0.9410250186920166,2.4007389545440674,0.0005,0.37599998712539673,3.729165554046631
0,0.10152500122785568,4.279194355010986,0.001,0.20469999313354492,3.923175811767578
1,0.24431249499320984,3.920168399810791,0.001,0.3046000003814697,3.6711843013763428
2,0.3278999924659729,3.7324323654174805,0.001,0.34200000762939453,3.573044538497925
3,0.38725000619888306,3.6074187755584717,0.001,0.3718999922275543,3.5107438564300537
4,0.4341374933719635,3.5098624229431152,0.001,0.38609999418258667,3.480299234390259
5,0.48028749227523804,3.4278438091278076,0.001,0.4018999934196472,3.4660143852233887
6,0.5181249976158142,3.3542816638946533,0.001,0.3991999924182892,3.474228858947754
7,0.5542500019073486,3.293529748916626,0.001,0.3955000042915344,3.4835379123687744
8,0.5864624977111816,3.236672878265381,0.001,0.40400001406669617,3.503396511077881
9,0.6558125019073486,3.117090940475464,0.0005,0.41339999437332153,3.5010149478912354
10,0.679812490940094,3.08363938331604,0.000100000005,0.4072999954223633,3.5189242362976074
