epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.05014999955892563,4.443461894989014,0.1,0.10050000250339508,4.242379665374756
1,0.14047500491142273,4.1348090171813965,0.1,0.1860000044107437,4.01801061630249
2,0.21504999697208405,3.913653612136841,0.1,0.2451999932527542,3.8368008136749268
3,0.28472501039505005,3.7371726036071777,0.1,0.26750001311302185,3.7762718200683594
4,0.34415000677108765,3.5875487327575684,0.1,0.32280001044273376,3.650947332382202
5,0.39582499861717224,3.4560399055480957,0.1,0.3458999991416931,3.600975751876831
6,0.4520750045776367,3.3282411098480225,0.1,0.3522999882698059,3.5786256790161133
7,0.5075749754905701,3.2100610733032227,0.1,0.37540000677108765,3.554198741912842
8,0.5679000020027161,3.0894246101379395,0.1,0.38420000672340393,3.5463156700134277
9,0.6965000033378601,2.848705768585205,0.05,0.39559999108314514,3.5143842697143555
10,0.7543249726295471,2.753692626953125,0.05,0.39250001311302185,3.550553560256958
0,0.010774999856948853,4.605249404907227,0.001,0.010099999606609344,4.604296684265137
1,0.010900000110268593,4.60306978225708,0.001,0.010999999940395355,4.602785110473633
2,0.011800000444054604,4.601515293121338,0.001,0.013299999758601189,4.601251602172852
3,0.016374999657273293,4.599889278411865,0.001,0.01730000041425228,4.599586486816406
4,0.02135000005364418,4.598001003265381,0.001,0.021400000900030136,4.597519397735596
5,0.024575000628829002,4.5955963134765625,0.001,0.025100000202655792,4.594888687133789
6,0.028975000604987144,4.5924072265625,0.001,0.02930000051856041,4.59126091003418
7,0.03292499855160713,4.588129043579102,0.001,0.03240000084042549,4.586390972137451
8,0.03542499989271164,4.582000732421875,0.001,0.03240000084042549,4.579369068145752
9,0.03902500122785568,4.575498580932617,0.0005,0.03539999946951866,4.574342250823975
10,0.04035000130534172,4.569998741149902,0.0005,0.03840000182390213,4.568417549133301
0,0.009224999696016312,4.60638427734375,0.001,0.010999999940395355,4.604897499084473
1,0.0125749995931983,4.604074001312256,0.001,0.01360000018030405,4.603570938110352
2,0.013074999675154686,4.602957248687744,0.001,0.01489999983459711,4.602598667144775
3,0.012749999761581421,4.601952075958252,0.001,0.016100000590085983,4.601546287536621
4,0.013949999585747719,4.6008100509643555,0.001,0.015399999916553497,4.600286483764648
5,0.015300000086426735,4.599395275115967,0.001,0.01679999940097332,4.598694801330566
6,0.016325000673532486,4.597627639770508,0.001,0.017999999225139618,4.596691608428955
7,0.017625000327825546,4.5953049659729,0.001,0.01889999955892563,4.594025611877441
8,0.01889999955892563,4.59224796295166,0.001,0.01940000057220459,4.590548992156982
9,0.019050000235438347,4.589229106903076,0.0005,0.020099999383091927,4.588253974914551
10,0.019449999555945396,4.586765766143799,0.0005,0.019899999722838402,4.585609436035156
0,0.009674999862909317,327.4250793457031,0.1,0.009200000204145908,4.629614353179932
1,0.010300000198185444,4.625651836395264,0.1,0.00989999994635582,4.621866226196289
2,0.01075000036507845,4.62571907043457,0.1,0.00800000037997961,4.628736972808838
3,0.010724999941885471,4.626148223876953,0.1,0.008799999952316284,4.624336242675781
4,0.010400000028312206,4.626437664031982,0.1,0.010200000368058681,4.623538494110107
5,0.008999999612569809,4.627237796783447,0.1,0.009800000116229057,4.624752998352051
6,0.009449999779462814,4.62656307220459,0.02,0.009100000374019146,4.6245880126953125
7,0.010300000198185444,4.62693452835083,0.1,0.010900000110268593,4.629908084869385
8,0.01054999977350235,4.626267910003662,0.1,0.009200000204145908,4.618943691253662
9,0.009425000287592411,4.616270542144775,0.05,0.009399999864399433,4.614902019500732
10,0.009999999776482582,4.616157054901123,0.05,0.009100000374019146,4.618829727172852
0,0.09197500348091125,4.287830829620361,0.001,0.17329999804496765,4.032145977020264
1,0.22807499766349792,3.881985664367676,0.001,0.25600001215934753,3.805973529815674
2,0.310699999332428,3.6634929180145264,0.001,0.3212999999523163,3.650308132171631
3,0.37070000171661377,3.5161421298980713,0.001,0.3483000099658966,3.566167116165161
4,0.42225000262260437,3.388589859008789,0.001,0.3774999976158142,3.5004167556762695
5,0.46927499771118164,3.2867956161499023,0.001,0.3919999897480011,3.5028867721557617
6,0.510450005531311,3.1937944889068604,0.001,0.3977999985218048,3.4808969497680664
7,0.5513749718666077,3.109351873397827,0.001,0.41130000352859497,3.4541780948638916
8,0.5946499705314636,3.0258734226226807,0.001,0.4018999934196472,3.475301504135132
9,0.6782500147819519,2.867614269256592,0.0005,0.4196999967098236,3.4440784454345703
10,0.7120500206947327,2.810321807861328,0.0005,0.41769999265670776,3.4466049671173096
0,0.08860000222921371,4.29965877532959,0.001,0.15569999814033508,4.073960781097412
1,0.2229750007390976,3.9032413959503174,0.001,0.26100000739097595,3.796092987060547
2,0.307574987411499,3.6813395023345947,0.001,0.30790001153945923,3.6794917583465576
3,0.36754998564720154,3.5286741256713867,0.001,0.33559998869895935,3.596280574798584
4,0.41929998993873596,3.404850482940674,0.001,0.37689998745918274,3.514594078063965
5,0.46597498655319214,3.2977278232574463,0.001,0.3767000138759613,3.5190086364746094
6,0.5092499852180481,3.202605962753296,0.001,0.40459999442100525,3.471457004547119
7,0.5511999726295471,3.117546319961548,0.001,0.40119999647140503,3.4903862476348877
8,0.5927000045776367,3.035757303237915,0.001,0.39820000529289246,3.476248025894165
9,0.6773499846458435,2.8771214485168457,0.0005,0.4165000021457672,3.464494466781616
10,0.7086750268936157,2.8197708129882812,0.0005,0.4120999872684479,3.466015577316284
