epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.02941250056028366,4.393751621246338,0.001,0.03739999979734421,4.670220375061035
1,0.05974999815225601,4.1439361572265625,0.001,0.0754999965429306,4.1742329597473145
2,0.07563749700784683,4.070699214935303,0.001,0.029999999329447746,4.770854473114014
3,0.09042499959468842,3.9860663414001465,0.001,0.11729999631643295,3.715071439743042
4,0.11102499812841415,3.865621566772461,0.001,0.1738000065088272,3.355196475982666
5,0.1385750025510788,3.731855869293213,0.001,0.08110000193119049,4.077307224273682
6,0.14034999907016754,3.7351043224334717,0.001,0.1492999941110611,3.5465550422668457
7,0.14980000257492065,3.7005116939544678,0.001,0.21439999341964722,3.2248263359069824
8,0.15872499346733093,3.6469550132751465,0.001,0.07500000298023224,4.670050144195557
9,0.17675000429153442,3.554819107055664,0.0005,0.2190999984741211,3.160188913345337
10,0.18809999525547028,3.500379800796509,0.0005,0.2524000108242035,3.0063416957855225
11,0.19606250524520874,3.4646313190460205,0.0005,0.2784000039100647,2.9038808345794678
12,0.21005000174045563,3.408043384552002,0.0005,0.29750001430511475,2.7624878883361816
13,0.2206750065088272,3.356659412384033,0.0005,0.2732999920845032,2.9466817378997803
14,0.2083124965429306,3.4210171699523926,0.0005,0.23389999568462372,3.1075515747070312
15,0.21867500245571136,3.3592967987060547,0.0005,0.2590000033378601,2.974254846572876
16,0.23342500627040863,3.2867538928985596,0.0005,0.3165999948978424,2.679443836212158
17,0.24437500536441803,3.2367544174194336,0.0005,0.32690000534057617,2.6365914344787598
18,0.24908749759197235,3.2195088863372803,0.0005,0.3278999924659729,2.6482155323028564
19,0.2650499939918518,3.145498514175415,0.00025,0.3481000065803528,2.548551082611084
20,0.27213749289512634,3.1107659339904785,0.00025,0.3571999967098236,2.5263476371765137
21,0.2835499942302704,3.076019525527954,0.00025,0.35929998755455017,2.5225517749786377
22,0.29109999537467957,3.04050612449646,0.00025,0.37139999866485596,2.4615225791931152
23,0.29054999351501465,3.0450456142425537,0.00025,0.33480000495910645,2.633185625076294
24,0.29522499442100525,3.0154623985290527,0.00025,0.35530000925064087,2.5163159370422363
25,0.30057498812675476,2.999194622039795,0.00025,0.3610999882221222,2.5129594802856445
26,0.302949994802475,2.9866886138916016,0.00025,0.366100013256073,2.480043411254883
27,0.3144625127315521,2.9386978149414062,0.00025,0.3799999952316284,2.4144980907440186
28,0.32225000858306885,2.9090919494628906,0.00025,0.37049999833106995,2.476212978363037
29,0.3367624878883362,2.8600728511810303,0.000125,0.3855000138282776,2.4238831996917725
30,0.34491249918937683,2.831023693084717,0.000125,0.3903999924659729,2.398005962371826
31,0.3471750020980835,2.8184475898742676,0.000125,0.384799987077713,2.4190146923065186
32,0.35048750042915344,2.8010096549987793,0.000125,0.39169999957084656,2.3989500999450684
33,0.3592374920845032,2.769258737564087,0.000125,0.3921999931335449,2.4144794940948486
34,0.3607499897480011,2.765286684036255,0.000125,0.39629998803138733,2.41089129447937
35,0.36588749289512634,2.7487170696258545,0.000125,0.3700999915599823,2.5301544666290283
36,0.3693625032901764,2.728586435317993,0.000125,0.39640000462532043,2.420295476913452
37,0.3765749931335449,2.695542573928833,0.000125,0.39320001006126404,2.428837776184082
38,0.3702625036239624,2.7290000915527344,0.000125,0.3853999972343445,2.4997358322143555
39,0.37697499990463257,2.722623586654663,6.25e-05,0.39660000801086426,2.4408743381500244
40,0.381074994802475,2.6980741024017334,6.25e-05,0.4000999927520752,2.4360079765319824
